input;measured;model;input
2.600000;0.000000;0.000000;2.600000
2.600000;-0.247955;8.690816;2.600000
2.600000;1.211688;16.412971;2.600000
2.600000;2.771996;23.274432;2.600000
2.600000;5.137625;29.371129;2.600000
2.600000;7.352257;34.788301;2.600000
2.600000;8.107245;39.601687;2.600000
2.600000;13.945818;43.878583;2.600000
2.600000;9.768218;47.678785;2.600000
2.600000;21.042705;51.055425;2.600000
2.600000;20.489047;54.055711;2.600000
2.600000;26.176622;56.721593;2.600000
2.600000;23.358001;59.090340;2.600000
2.600000;28.038926;61.195072;2.600000
2.600000;35.739803;63.065216;2.600000
2.600000;29.095909;64.726917;2.600000
2.600000;32.921181;66.203408;2.600000
2.600000;35.135812;67.515333;2.600000
2.600000;40.471060;68.681033;2.600000
2.600000;36.494790;69.716807;2.600000
2.600000;42.132033;70.637136;2.600000
2.600000;45.101652;71.454887;2.600000
2.600000;37.249778;72.181493;2.600000
2.600000;48.121604;72.827113;2.600000
2.600000;43.491012;73.400774;2.600000
2.600000;46.007638;73.910496;2.600000
2.600000;45.655310;74.363405;2.600000
2.600000;46.712293;74.765834;2.600000
2.600000;43.541344;75.123409;2.600000
2.600000;51.091223;75.441129;2.600000
2.600000;52.097873;75.723437;2.600000
2.600000;42.132033;75.974280;2.600000
2.600000;53.658182;76.197164;2.600000
2.600000;51.443551;76.395206;2.600000
2.600000;46.913623;76.571175;2.600000
2.600000;52.550866;76.727530;2.600000
2.600000;46.863291;76.866459;2.600000
2.600000;49.933575;76.989903;2.600000
2.600000;50.638230;77.099588;2.600000
2.600000;50.336235;77.197048;2.600000
2.600000;51.141555;77.283645;2.600000
2.600000;50.738895;77.360590;2.600000
2.600000;48.725594;77.428959;2.600000
2.600000;56.527136;77.489708;2.600000
2.600000;54.614500;77.543686;2.600000
2.600000;51.141555;77.591647;2.600000
2.600000;59.043762;77.634263;2.600000
2.600000;54.715165;77.672129;2.600000
2.600000;51.040890;77.705775;2.600000
2.600000;55.621150;77.735670;2.600000
2.600000;58.540437;77.762234;2.600000
2.600000;52.248871;77.785836;2.600000
2.600000;56.728466;77.806808;2.600000
2.600000;50.688563;77.825443;2.600000
2.600000;53.708514;77.842000;2.600000
2.600000;48.675262;77.856712;2.600000
2.600000;52.198538;77.869785;2.600000
2.600000;56.577468;77.881400;2.600000
2.600000;58.288774;77.891721;2.600000
2.600000;50.688563;77.900891;2.600000
2.600000;54.010509;77.909039;2.600000
2.600000;57.735116;77.916279;2.600000
2.600000;59.647752;77.922712;2.600000
2.600000;52.047541;77.928429;2.600000
2.600000;55.117825;77.933508;2.600000
2.600000;58.590769;77.938020;2.600000
2.600000;49.581247;77.942030;2.600000
2.600000;53.305854;77.945593;2.600000
2.600000;56.275473;77.948759;2.600000
2.600000;57.483454;77.951572;2.600000
2.600000;48.775927;77.954072;2.600000
